Date,Year,Month,YearMonth,Name,Adj Close,Close,Open,High,Low,Volume,MTD_Return,YTD_Return
2010-01-04,2010,1,2010-01,AAPL,6.553025,7.643214,7.6225,7.660714,7.585,493729600,0.0,0.0
2010-01-04,2010,1,2010-01,GOOG,312.204773,312.204773,312.304413,313.57962,310.954468,3927065,0.0,0.0
2010-01-04,2010,1,2010-01,INTC,14.576731,20.879999,20.790001,21.030001,20.73,47800900,0.0,0.0
2010-01-04,2010,1,2010-01,MSFT,23.904985,30.950001,30.620001,31.1,30.59,38409100,0.0,0.0
2010-01-04,2010,1,2010-01,AMZN,133.899994,133.899994,136.25,136.610001,133.139999,7599900,0.0,0.0
2010-01-04,2010,1,2010-01,NVDA,4.246797,4.6225,4.6275,4.655,4.5275,80020400,0.0,0.0
2010-01-04,2010,1,2010-01,CRM,18.705,18.705,18.6525,18.8825,18.547501,7906000,0.0,0.0
2010-01-05,2010,1,2010-01,CRM,18.625,18.625,18.612499,18.75,18.200001,7942400,-0.004276931301790854,-0.004276931301790854
2010-01-05,2010,1,2010-01,MSFT,23.912704,30.959999,30.85,31.1,30.639999,49749600,0.0003230371462670245,0.0003230371462670245
2010-01-05,2010,1,2010-01,GOOG,310.829926,310.829926,312.418976,312.747742,309.609497,6031925,-0.004403670663933101,-0.004403670663933101
2010-01-05,2010,1,2010-01,NVDA,4.308811,4.69,4.605,4.74,4.605,72864800,0.01460248783126028,0.01460248783126028
2010-01-05,2010,1,2010-01,AMZN,134.690002,134.690002,133.429993,135.479996,131.809998,8851900,0.00589998532785585,0.00589998532785585
2010-01-05,2010,1,2010-01,AAPL,6.564355,7.656429,7.664286,7.699643,7.616071,601904800,0.001728984691518498,0.001728984691518498
2010-01-05,2010,1,2010-01,INTC,14.569747,20.870001,20.940001,20.99,20.6,52357700,-0.0004788314405571592,-0.0004788314405571592
2010-01-06,2010,1,2010-01,MSFT,23.765957,30.77,30.879999,31.08,30.52,58182400,-0.005815864109342095,-0.005815864109342095
2010-01-06,2010,1,2010-01,AMZN,132.25,132.25,134.600006,134.729996,131.649994,7178800,-0.012322584570093387,-0.012322584570093387
2010-01-06,2010,1,2010-01,CRM,18.592501,18.592501,18.6875,18.75,18.495001,5122400,-0.006014381181502215,-0.006014381181502215
2010-01-06,2010,1,2010-01,NVDA,4.336372,4.72,4.6875,4.73,4.6425,64916800,0.02109248242293127,0.02109248242293127
2010-01-06,2010,1,2010-01,GOOG,302.994293,302.994293,311.761444,311.761444,302.047852,7987226,-0.029501406757801107,-0.029501406757801107
2010-01-06,2010,1,2010-01,AAPL,6.459939,7.534643,7.656429,7.686786,7.526786,552160000,-0.014204888153072859,-0.014204888153072859
2010-01-06,2010,1,2010-01,INTC,14.520872,20.799999,20.809999,20.93,20.67,40037400,-0.0038314178080182115,-0.0038314178080182115
2010-01-07,2010,1,2010-01,AAPL,6.447999,7.520714,7.5625,7.571429,7.466071,477131200,-0.0160272890435883,-0.0160272890435883
2010-01-07,2010,1,2010-01,AMZN,130.0,130.0,132.009995,132.320007,128.800003,11030200,-0.02912617008780438,-0.02912617008780438
2010-01-07,2010,1,2010-01,NVDA,4.25139,4.6275,4.695,4.715,4.5925,54779200,0.0010816657652787942,0.0010816657652787942
2010-01-07,2010,1,2010-01,INTC,14.381258,20.6,20.73,20.76,20.34,54041500,-0.013409914435340786,-0.013409914435340786
2010-01-07,2010,1,2010-01,CRM,18.51,18.51,18.629999,18.737499,18.385,4840000,-0.010425020048115297,-0.010425020048115297
2010-01-07,2010,1,2010-01,MSFT,23.518795,30.450001,30.629999,30.700001,30.190001,50559700,-0.016155088331014866,-0.016155088331014866
2010-01-07,2010,1,2010-01,GOOG,295.940735,295.940735,303.562164,303.861053,295.218445,12876685,-0.052094136305853245,-0.052094136305853245
2010-01-08,2010,1,2010-01,INTC,14.541819,20.83,20.540001,20.889999,20.4,48234700,-0.002394588237288886,-0.002394588237288886
2010-01-08,2010,1,2010-01,MSFT,23.680994,30.66,30.280001,30.879999,30.24,51197400,-0.009369983542165339,-0.009369983542165339
2010-01-08,2010,1,2010-01,GOOG,299.885956,299.885956,294.894653,300.498657,293.455048,9484016,-0.03945749093336237,-0.03945749093336237
2010-01-08,2010,1,2010-01,AAPL,6.490865,7.570714,7.510714,7.571429,7.466429,447610800,-0.009485538413552264,-0.009485538413552264
2010-01-08,2010,1,2010-01,AMZN,133.520004,133.520004,130.559998,133.679993,129.029999,9830500,-0.0028378642048333402,-0.0028378642048333402
2010-01-08,2010,1,2010-01,NVDA,4.260575,4.6375,4.59,4.67,4.5625,47816800,0.0032449972958357165,0.0032449972958357165
2010-01-08,2010,1,2010-01,CRM,18.5375,18.5375,18.5175,18.5875,18.315001,5510400,-0.008954824913124715,-0.008954824913124715
2010-01-11,2010,1,2010-01,AMZN,130.309998,130.309998,132.619995,132.800003,129.210007,8779400,-0.02681102435299576,-0.02681102435299576
2010-01-11,2010,1,2010-01,NVDA,4.200862,4.5725,4.6625,4.6825,4.5075,55661200,-0.010816657652785278,-0.010816657652785278
2010-01-11,2010,1,2010-01,AAPL,6.433607,7.503929,7.6,7.607143,7.444643,462229600,-0.01822335473009129,-0.01822335473009129
2010-01-11,2010,1,2010-01,CRM,18.4125,18.4125,18.65,18.674999,18.1975,6399200,-0.015637530072173056,-0.015637530072173056
2010-01-11,2010,1,2010-01,INTC,14.625603,20.950001,21.110001,21.15,20.82,51086400,0.0033525863674610523,0.0033525863674610523
2010-01-11,2010,1,2010-01,GOOG,299.432648,299.432648,301.10141,301.10141,295.910858,14479871,-0.04090944823575782,-0.04090944823575782
2010-01-11,2010,1,2010-01,MSFT,23.37977,30.27,30.709999,30.76,30.120001,68754700,-0.02197095244035696,-0.02197095244035696
2010-01-12,2010,1,2010-01,MSFT,23.225292,30.07,30.15,30.4,29.91,65912100,-0.02843298777276293,-0.02843298777276293
2010-01-12,2010,1,2010-01,AAPL,6.360425,7.418571,7.471071,7.491786,7.372143,594459600,-0.02939116973566358,-0.02939116973566358
2010-01-12,2010,1,2010-01,CRM,17.0725,17.0725,17.610001,17.622499,17.065001,21053200,-0.08727612937717166,-0.08727612937717166
2010-01-12,2010,1,2010-01,INTC,14.388235,20.610001,20.870001,20.9,20.379999,69958400,-0.01293093931661593,-0.01293093931661593
2010-01-12,2010,1,2010-01,AMZN,127.349998,127.349998,128.990005,129.820007,126.550003,9096300,-0.048917074634073465,-0.048917074634073465
2010-01-12,2010,1,2010-01,NVDA,4.058461,4.4175,4.505,4.5225,4.3225,62743200,-0.04434829637641946,-0.04434829637641946
2010-01-12,2010,1,2010-01,GOOG,294.137512,294.137512,297.709106,297.963165,292.90213,9742983,-0.05786990642836831,-0.05786990642836831
2010-01-13,2010,1,2010-01,MSFT,23.441559,30.35,30.26,30.52,30.01,51863500,-0.01938613830739455,-0.01938613830739455
2010-01-13,2010,1,2010-01,INTC,14.632583,20.959999,20.719999,21.08,20.440001,71446700,0.0038314178080181005,0.0038314178080181005
2010-01-13,2010,1,2010-01,AMZN,129.110001,129.110001,127.900002,129.710007,125.75,10723200,-0.0357729142243276,-0.0357729142243276
2010-01-13,2010,1,2010-01,NVDA,4.113581,4.4775,4.4475,4.4925,4.275,50886800,-0.03136830719307726,-0.03136830719307726
2010-01-13,2010,1,2010-01,GOOG,292.448822,292.448822,287.16861,293.091431,285.878448,13041902,-0.0632788243759489,-0.0632788243759489
2010-01-13,2010,1,2010-01,AAPL,6.450142,7.523214,7.423929,7.533214,7.289286,605892000,-0.015700201512086398,-0.015700201512086398
2010-01-13,2010,1,2010-01,CRM,17.125,17.125,17.07,17.1975,16.7425,20649600,-0.0844693932103715,-0.0844693932103715
2010-01-14,2010,1,2010-01,AMZN,127.349998,127.349998,129.139999,130.380005,126.400002,9774900,-0.048917074634073465,-0.048917074634073465
2010-01-14,2010,1,2010-01,AAPL,6.412785,7.479643,7.503929,7.516429,7.465,432894000,-0.021400813846112365,-0.021400813846112365
2010-01-14,2010,1,2010-01,MSFT,23.912704,30.959999,30.309999,31.1,30.26,63228100,0.0003230371462670245,0.0003230371462670245
2010-01-14,2010,1,2010-01,CRM,17.297501,17.297501,17.122499,17.432501,17.122499,10400400,-0.07524720662924345,-0.07524720662924345
2010-01-14,2010,1,2010-01,INTC,14.995602,21.48,21.110001,21.549999,21.049999,150821600,0.02873568145285832,0.02873568145285832
2010-01-14,2010,1,2010-01,GOOG,293.823669,293.823669,290.859772,295.99057,290.316833,8511986,-0.05887515371201579,-0.05887515371201579
2010-01-14,2010,1,2010-01,NVDA,4.049271,4.4075,4.4225,4.455,4.3325,60852400,-0.046511627906976716,-0.046511627906976716
2010-01-15,2010,1,2010-01,CRM,17.157499,17.157499,17.262501,17.387501,17.025,8564800,-0.08273194333066014,-0.08273194333066014
2010-01-15,2010,1,2010-01,INTC,14.520872,20.799999,21.389999,21.4,20.77,198078600,-0.0038314178080182115,-0.0038314178080182115
2010-01-15,2010,1,2010-01,AAPL,6.305614,7.354643,7.533214,7.557143,7.3525,594067600,-0.037755190421202456,-0.037755190421202456
2010-01-15,2010,1,2010-01,NVDA,3.929837,4.2775,4.375,4.4125,4.22,81819200,-0.07463493780421848,-0.07463493780421848
2010-01-15,2010,1,2010-01,GOOG,288.917053,288.917053,295.562164,295.671753,287.940735,10909740,-0.07459117224963108,-0.07459117224963108
2010-01-15,2010,1,2010-01,AMZN,127.139999,127.139999,129.179993,129.649994,127.059998,15376500,-0.05048540181413297,-0.05048540181413297
2010-01-15,2010,1,2010-01,MSFT,23.835472,30.860001,31.08,31.24,30.709999,79913200,-0.002907915899582725,-0.002907915899582725
2010-01-19,2010,1,2010-01,NVDA,4.003335,4.3575,4.245,4.385,4.2325,54532800,-0.05732828555976199,-0.05732828555976199
2010-01-19,2010,1,2010-01,AMZN,127.610001,127.610001,126.309998,128.0,124.330002,8892600,-0.04697530456946841,-0.04697530456946841
2010-01-19,2010,1,2010-01,CRM,17.375,17.375,17.147499,17.467501,17.0375,6252800,-0.07110398289227471,-0.07110398289227471
2010-01-19,2010,1,2010-01,MSFT,24.020838,31.1,30.75,31.24,30.68,46575700,0.004846494189127748,0.004846494189127748
2010-01-19,2010,1,2010-01,GOOG,292.71283,292.71283,289.514832,294.107605,287.069,8665760,-0.06243319989217455,-0.06243319989217455
2010-01-19,2010,1,2010-01,AAPL,6.584566,7.68,7.440357,7.685357,7.401429,730007600,0.004812896773529918,0.004812896773529918
2010-01-19,2010,1,2010-01,INTC,14.695411,21.049999,20.9,21.17,20.85,82573500,0.00814176284203838,0.00814176284203838
2010-01-20,2010,1,2010-01,CRM,17.137501,17.137501,17.200001,17.2925,16.875,7260000,-0.08380106923282538,-0.08380106923282538
2010-01-20,2010,1,2010-01,INTC,14.716354,21.08,20.99,21.139999,20.85,65670100,0.009578592412767595,0.009578592412767595
2010-01-20,2010,1,2010-01,AAPL,6.483211,7.561786,7.675357,7.698214,7.482143,612152800,-0.010653633406051521,-0.010653633406051521
2010-01-20,2010,1,2010-01,MSFT,23.626926,30.59,30.809999,30.940001,30.309999,54849500,-0.011631695908507433,-0.011631695908507433
2010-01-20,2010,1,2010-01,AMZN,125.779999,125.779999,127.129997,129.199997,125.080002,9074700,-0.06064223572706051,-0.06064223572706051
2010-01-20,2010,1,2010-01,NVDA,3.987258,4.34,4.3025,4.3575,4.245,71972800,-0.061114115738236885,-0.061114115738236885
2010-01-20,2010,1,2010-01,GOOG,289.121307,289.121307,291.895905,291.895905,286.570862,6525769,-0.07393694138045737,-0.07393694138045737
2010-01-21,2010,1,2010-01,AMZN,126.620003,126.620003,127.260002,128.149994,125.0,9970600,-0.05436886726074086,-0.05436886726074086
2010-01-21,2010,1,2010-01,CRM,16.719999,16.719999,17.155001,17.379999,16.6525,8946000,-0.10612141138732945,-0.10612141138732945
2010-01-21,2010,1,2010-01,INTC,14.548802,20.84,21.15,21.309999,20.68,73633300,-0.0019156610112864847,-0.0019156610112864847
2010-01-21,2010,1,2010-01,MSFT,23.178947,30.01,30.610001,30.719999,30.0,73086700,-0.03037159837248471,-0.03037159837248471
2010-01-21,2010,1,2010-01,NVDA,3.916056,4.2625,4.3375,4.415,4.2225,60863200,-0.07787993510005398,-0.07787993510005398
2010-01-21,2010,1,2010-01,AAPL,6.37114,7.431071,7.574286,7.618214,7.400357,608154400,-0.027755732078154627,-0.027755732078154627
2010-01-21,2010,1,2010-01,GOOG,290.401489,290.401489,290.630646,292.314331,285.056549,12662686,-0.06983648517122432,-0.06983648517122432
2010-01-22,2010,1,2010-01,AMZN,121.43,121.43,125.599998,127.669998,120.760002,11568900,-0.0931291602597083,-0.0931291602597083
2010-01-22,2010,1,2010-01,INTC,13.899555,19.91,20.77,20.790001,19.809999,116302400,-0.04645589302949682,-0.04645589302949682
2010-01-22,2010,1,2010-01,NVDA,3.780545,4.115,4.2125,4.29,4.09,106791600,-0.10978907517577052,-0.10978907517577052
2010-01-22,2010,1,2010-01,GOOG,273.978058,273.978058,281.196014,284.234619,266.431335,13651779,-0.12244116139761907,-0.12244116139761907
2010-01-22,2010,1,2010-01,MSFT,22.367958,28.959999,30.0,30.200001,28.84,102004600,-0.06429731617779266,-0.06429731617779266
2010-01-22,2010,1,2010-01,AAPL,6.05514,7.0625,7.385,7.410714,7.041429,881767600,-0.07597772350741461,-0.07597772350741461
2010-01-22,2010,1,2010-01,CRM,16.135,16.135,16.682501,16.735001,16.09,8788800,-0.13739641807003455,-0.13739641807003455
2010-01-25,2010,1,2010-01,CRM,16.032499,16.032499,16.370001,16.4025,15.8675,9866800,-0.14287628976209554,-0.14287628976209554
2010-01-25,2010,1,2010-01,MSFT,22.646009,29.32,29.24,29.66,29.1,63373000,-0.05266562026928534,-0.05266562026928534
2010-01-25,2010,1,2010-01,INTC,14.185781,20.32,20.24,20.58,20.139999,73785600,-0.026819876763404138,-0.026819876763404138
2010-01-25,2010,1,2010-01,AMZN,120.309998,120.309998,122.099998,122.279999,118.120003,12023900,-0.10149362665393402,-0.10149362665393402
2010-01-25,2010,1,2010-01,AAPL,6.21804,7.2525,7.2325,7.310714,7.149643,1065699600,-0.051119071113277736,-0.051119071113277736
2010-01-25,2010,1,2010-01,NVDA,3.844856,4.185,4.1825,4.265,4.1525,64367600,-0.09464575446187129,-0.09464575446187129
2010-01-25,2010,1,2010-01,GOOG,268.99176,268.99176,272.274445,273.9133,266.755127,8872934,-0.1384124034516282,-0.1384124034516282
2010-01-26,2010,1,2010-01,INTC,13.962383,20.0,20.18,20.379999,19.950001,65298900,-0.04214554799547654,-0.04214554799547654
2010-01-26,2010,1,2010-01,CRM,16.352501,16.352501,16.040001,16.545,15.8375,10367200,-0.12576845763164923,-0.12576845763164923
2010-01-26,2010,1,2010-01,NVDA,3.723124,4.0525,4.165,4.1925,4.05,71463600,-0.12330989724175223,-0.12330989724175223
2010-01-26,2010,1,2010-01,MSFT,22.785046,29.5,29.200001,29.85,29.09,66639900,-0.04684978847011989,-0.04684978847011989
2010-01-26,2010,1,2010-01,AMZN,119.480003,119.480003,120.559998,122.980003,119.059998,9559000,-0.10769224530361066,-0.10769224530361066
2010-01-26,2010,1,2010-01,GOOG,270.197235,270.197235,267.98053,273.773834,267.143677,8743651,-0.13455123570452276,-0.13455123570452276
2010-01-26,2010,1,2010-01,AAPL,6.305922,7.355,7.355357,7.6325,7.235,1867110000,-0.03770848232170387,-0.03770848232170387
2010-01-27,2010,1,2010-01,AMZN,122.75,122.75,121.029999,123.330002,118.800003,14765300,-0.08327105675598456,-0.08327105675598456
2010-01-27,2010,1,2010-01,NVDA,3.824184,4.1625,4.05,4.1775,4.005,81250400,-0.09951325040562464,-0.09951325040562464
2010-01-27,2010,1,2010-01,MSFT,22.916346,29.67,29.35,29.82,29.02,63949500,-0.041357058437574756,-0.041357058437574756
2010-01-27,2010,1,2010-01,INTC,14.129934,20.24,20.0,20.33,19.82,74926200,-0.03065129457142235,-0.03065129457142235
2010-01-27,2010,1,2010-01,GOOG,270.037842,270.037842,269.62439,272.80246,266.655518,7958519,-0.13506177562506383,-0.13506177562506383
